,ID,Year,State,region,domestic,commercial,industrial_low_volt,industrial_high_volt,public_lighting,traction,agriculture,public_water_works,miscellaneous,total_energy_sold
65,955,2013-14,Lakshadweep,SR,29.370551451187,10.057221635883,0.4330343007915,0,1.1691926121372,0,0,0,0,41.03
66,957,2013-14,Jharkhand,ER,4158,494.4452,200.024,16807.537,277.2,1169.06352,92.400000000000,165.55,481.25,23845.46972
67,958,2013-14,Odisha,ER,4693.21,1201.35,320.23,30078.37,71.47,1009.9,171.82,114.05,622.76,38283.16
68,959,2013-14,West Bengal,ER,11263.14,4968.6548,2002.57,16649.819,393.5,1422.91048,1183.15,647.36,350.27,38881.37428
69,960,2013-14,Sikkim,ER,147.60766062312,68.140312444992,154.71377266326,0,5.3429413835592,0,0,0,28.905312885055,404.70999999999
70,908,2014-15,Gujarat,WR,12457.15,3412.44,11111.74,50922.25,313.65,767.14,15942.82,1706.02,209.14,96842.350000000
71,910,2014-15,Maharashtra,WR,25207.3,12948.41,8988.9699999999,31978.25,1582.76,2442.19,26632.69,2349.76,1509.16,113639.49
72,909,2014-15,Madhya Pradesh,WR,10152.067153652,2179.9559111219,1056.3180426409,11877.62,390.68085768194,1897.66,15068.899177575,1298.9937579322,2227.3050993954,46149.5
73,911,2014-15,Daman & Diu,WR,83.13,41.57,153.9,1288.66,8.7899999999999,0,2.3,7.18,10.23,1595.76
74,912,2014-15,D & N Haveli,WR,93.13,27.05,187.51,4842.92,7.76,0,4.31,3.23,0,5165.9100000000
75,913,2014-15,Goa,WR,736,264,189.98,1793.13,39,0,30,143,27,3222.11
76,914,2014-15,Andhra Pradesh,SR,9949.9452071212,2672.9949791651,2146.2295127451,16886.5,522.09639953611,1549.05,10899.597273220,324.84434001865,427.38228819277,45378.64
77,907,2014-15,Chhattisgarh,WR,4634.8099999999,1334.57,524.34,23963.12,104.48,866.13,3112.28,238.56,38.71,34817
78,906,2014-15,Uttarakhand,NR,2323,1078,312,6330.04,45.52,11.49,108.1,314,430,10952.15
79,905,2014-15,Uttar Pradesh,NR,24955.85,4329.9699999999,2751.2,23624.27,816.38999999999,888.77,11755.28,1687.06,4089.66,74898.45
80,904,2014-15,Rajasthan,NR,9786.33,3610.08,3020.24,19533.16,383.08,145.9,19088.87,1648.51,648.15,57864.320000000
81,903,2014-15,Punjab,NR,11137.84,3146.34,3304.97,12126.1,174.87,149.91,10223.57,443.77,684.78,41392.15
82,902,2014-15,Jammu & Kashmir,NR,2690.5343565574,714.14201405542,434.83909244468,863.89872375033,43.274623068421,0,310.86194815757,568.04033115759,749.9089108085,5511.6012762496
83,901,2014-15,Himachal Pradesh,NR,1891.36,473.21,71.06,4702.76,13.34,0,547.72,0,290.14,7989.59
84,900,2014-15,Haryana,NR,6671.2000000000,3282.84,1712.88,9551.4000000000,96.77,623.23,9654.3800000000,827.81999999999,673.00999999999,33093.53
85,899,2014-15,Delhi,NR,12366.3,6831.6900000000,2689.5080075901,167.02199240986,441.72,698.89000000000,13.04,566.35,1001.83,24776.35
86,898,2014-15,Chandigarh,NR,655.38,460.21,124.08,118.88,21.66,0,1.67,(B),91.459999999999,1473.34
87,915,2014-15,Telangana,SR,8620.5361003536,4326.3763845093,1172.8339350158,26418.631424241,533.29,609.05999999999,12569.135325220,494.59122534620,758.39597805886,39638.88
88,916,2014-15,Karnataka,SR,10581.449179104,6217.6486567164,1787.4052921768,26418.631424241,876.13753731343,246.66,17988.644402985,2476.8182835820,991.71522388059,67585.11
89,933,2014-15,Tripura,NER,430.88,71.36,23.89,17.02,38.36,0,32.62,74.5,97.5,786.13
90,932,2014-15,Nagaland,NER,307.79,68.430000000000,53.78,0,11.26,0,0,5.22,82.86,529.34
91,931,2014-15,Mizoram,NER,214.5,34.02,1.87,6.78,7.2,0,0.04,46.68,16.13,327.22
92,930,2014-15,Meghalaya,NER,385.01,84.97,5.26,554.25,1.27,0,0.1,40.94,314.3489,1386.1489
93,929,2014-15,Manipur,NER,231.76,38.67,17.43,14.85,6.31,0,6.06,33.43,116.59,465.1
94,928,2014-15,Assam,NER,2553,760,82,2623.8,14,0,39,75,556,6702.8
95,927,2014-15,Arunachal Pradesh,NER,158.59311768827,48.574542983927,39.138454107305,180.42631478375,12.604494787575,0,0.0691288562389,9.1826164037453,94.061330389180,542.65
96,926,2014-15,A & N Islands,ER,115.54,58.7,13.39,0,9.0500000000000,0,0,0.86,31.92,229.46
97,925,2014-15,Sikkim,ER,147.60766062312,68.140312444992,154.71377266326,0,5.3429413835592,0,0,0,28.905312885055,404.70999999999
98,924,2014-15,West Bengal,ER,12656.99,5374.3744000000,2056.44,16507.9694,410.69,1558.3056,1492.07,702.52,553.46,41312.8194
99,917,2014-15,Kerala,SR,9467.3820310006,3121.8240072942,1100.32,4590.8006530658,353.74330863916,205.31,298.28,200.00196134891,324.95,19662.611961348
100,918,2014-15,Tamil Nadu,SR,21990,8394,7333.6970844939,30732.172915506,1136.78,824,12406,2236.22,1862,86914.87
